frame,drift_[px],X1,Y1,X2,Y2,X3,Y3
,,,,1900.050,0.643713,1900.050,0.100677
,,,,1910.045,0.646528,1910.045,0.099584
,,,,1920.040,0.649347,1920.040,0.098481
,,,,1930.035,0.652171,1930.035,0.097368
,,,,1940.030,0.654999,1940.030,0.096246
,,,,1950.025,0.657833,1950.025,0.095112
,,,,1960.020,0.660671,1960.020,0.093968
,,,,1970.015,0.663516,1970.015,0.092814
,,,,1980.010,0.666364,1980.010,0.091650
,,,,1990.005,0.669215,1990.005,0.090483
